S. No,Producto,Código,Garantía,Especificações Técnicas
57,MOTOBOMBA GASOLINA,BWP1.5x1.5SA,12 Meses,"

Tipo de bomba : Autocebante
Potencia máxima : 4,0 HP
Sistema de arranque : Retráctil
Capacidad máxima de bombeo : 15000 litros por hora
Diámetro del succion : 1,5 Pulgadas
Diámetro del descarga : 4,5 Pulgadas
Elevación total : 26 Metros
Altura de succión : 6 Metros
Tamaño tanque combustible : 2,0 Litros"
58,MOTOBOMBA GASOLINA,BWP2x2SA,12 Meses,"

Tipo de bomba : Autocebante
Potencia máxima : 7,0 HP
Sistema de arranque : Retráctil
Capacidad máxima de bombeo : 30000 litros por hora
Diámetro del succion : 2 Pulgadas
Diámetro del descarga : 2 Pulgadas
Elevación total : 30 Metros
Altura de succión : 8 Metros
Tamaño tanque combustible : 3,6 Litros"
59,MOTOBOMBA GASOLINA,BWP3x3SA,12 Meses,"

Tipo de bomba : Autocebante
Potencia máxima : 7,0 HP
Sistema de arranque : Retráctil
Capacidad máxima de bombeo : 55000 litros por hora
Diámetro del succion : 3 Pulgadas
Diámetro del descarga : 3 Pulgadas
Elevación total : 28 Metros
Altura de succión : 8 Metros
Tamaño tanque combustible : 3,6 Litros"
60,MOTOBOMBA DIESEL,BDWP2x2SA,12 Meses,"

Tipo de bomba : Autocebante
Motor: Diesel, 211cc 
Sistema de arranque : Retráctil
Capacidad máxima de bombeo : 22000 litros por hora
Diámetro del succion y descarga: 2 Pulgadas x 2 pulgadas
Elevación total : 15 Metros
Altura de succión : 7 Metros
Tamaño tanque combustible : 2,5 Litros
Arranque Manual"
61,MOTOBOMBA DIESEL,BDWP3x3SA,12 Meses,"

Tipo de bomba : Autocebante
Motor: Diesel, 296cc 
Sistema de arranque : Retráctil
Capacidad máxima de bombeo : 35000 litros por hora
Diámetro del succion y descarga: 3 Pulgadas x 3 pulgadas
Elevación total : 17 Metros
Altura de succión : 7 Metros
Tamaño tanque combustible : 3,5 Litros
Arranque Manual"
62,MOTOBOMBA DIESEL,BDWP2x2CA,12 Meses,"

Tipo de bomba : Autocebante
Motor: Diesel, 396cc 
Sistema de arranque : Retráctil
Capacidad máxima de bombeo : 25000 litros por hora
Diámetro del succion y descarga: 2 Pulgadas x 2 pulgadas
Elevación total : 70 Metros
Altura de succión : 5 Metros
Tamaño tanque combustible : 3,5 Litros
Arranque manual"
63,GENERADOR DE GASOLINA,BG1.2AS1-60,12 Meses,"

Potencia máxima : 1,2 KW
Potencia nominal : 1,1 KW
Bobina del estator : 100% Cobre
Voltaje : 110V - 60Hz
Motor : 113cc - 4HP / OHV, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 12 Horas
Capacidad tanque combustible : 9,6 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 350 ml"
64,GENERADOR DE GASOLINA,BG1.2AS2-60,12 Meses,"

Potencia máxima : 1,2 KW
Potencia nominal : 1,1 KW
Bobina del estator : 100% Cobre
Voltaje : 220V - 60Hz
Motor : 113cc - 4HP / OHV, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 12 Horas
Capacidad tanque combustible : 9,6 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 350 ml"
65,GENERADOR DE GASOLINA,BG1.0AS1-50,12 Meses,"

Potencia máxima : 1,0 KW
Potencia nominal : 0,9 KW
Bobina del estator : 100% Cobre
Voltaje : 110V - 50Hz
Motor : 113cc - 4HP / OHV, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 12 Horas
Capacidad tanque combustible : 9,6 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 350 ml"
66,GENERADOR DE GASOLINA,BG1.0AS2-50,12 Meses,"

Potencia máxima : 1,0 KW
Potencia nominal : 0,9 KW
Bobina del estator : 100% Cobre
Voltaje : 220V - 50Hz
Motor : 113cc - 4HP / OHV, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 12 Horas
Capacidad tanque combustible : 9,6 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 350 ml"
67,GENERADOR DE GASOLINA,BG3.0AS1-60,12 Meses,"

Potencia máxima : 3,0 KW
Potencia nominal : 2,8 KW
Bobina del estator : 100% Cobre
Voltaje : 110V - 60Hz
Motor : 212cc - 7HP / OHV, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 12 Horas
Capacidad tanque combustible : 15,0 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 600 ml"
68,GENERADOR DE GASOLINA,BG3.0AS2-60,12 Meses,"

Potencia máxima : 3,0 KW
Potencia nominal : 2,8 KW
Bobina del estator : 100% Cobre
Voltaje : 220V - 60Hz
Motor : 212cc - 7HP / OHV, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 12 Horas
Capacidad tanque combustible : 15,0 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 600 ml"
69,GENERADOR DE GASOLINA,BG2.7AS1-50,12 Meses,"

Potencia máxima : 2,7 KW
Potencia nominal : 2,5 KW
Bobina del estator : 100% Cobre
Voltaje : 110V - 50Hz
Motor : 212cc - 7HP / OHV, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 12 Horas
Capacidad tanque combustible : 15,0 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 600 ml"
70,GENERADOR DE GASOLINA,BG2.7AS2-50,12 Meses,"

Potencia máxima : 2,7 KW
Potencia nominal : 2,5 KW
Bobina del estator : 100% Cobre
Voltaje : 220V - 50Hz
Motor : 212cc - 7HP / OHV, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 12 Horas
Capacidad tanque combustible : 15,0 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 600 ml"
71,GENERADOR DE GASOLINA,BG6.5AS1-60,12 Meses,"

Potencia máxima : 6,5 KW
Potencia nominal : 6,0 KW
Bobina del estator : 100% Cobre
Voltaje : 110V - 60Hz
Motor : 420cc - 15HP / OHV, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 12 Horas
Capacidad tanque combustible : 25,0 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 1100 ml"
72,GENERADOR DE GASOLINA,BG6.5AS2-60,12 Meses,"

Potencia máxima : 6,5 KW
Potencia nominal : 6,0 KW
Bobina del estator : 100% Cobre
Voltaje : 220V - 60Hz
Motor : 420cc - 15HP / OHV, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 12 Horas
Capacidad tanque combustible : 25,0 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 1100 ml"
73,GENERADOR DE GASOLINA,BG5.8AS1-50,12 Meses,"

Potencia máxima : 5,8 KW
Potencia nominal : 5,4 KW
Bobina del estator : 100% Cobre
Voltaje : 110V - 50Hz
Motor : 420cc - 15HP / OHV, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 12 Horas
Capacidad tanque combustible : 25,0 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 1100 ml"
74,GENERADOR DE GASOLINA,BG5.8AS2-50,12 Meses,"

Potencia máxima : 5,8 KW
Potencia nominal : 5,4 KW
Bobina del estator : 100% Cobre
Voltaje : 220V - 50Hz
Motor : 420cc - 15HP / OHV, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 12 Horas
Capacidad tanque combustible : 25,0 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 1100 ml"
75,GENERADOR DE GASOLINA INVERTER,BG2.2AiS1-60,12 Meses,"

Potencia máxima : 2,2 KW
Potencia nominal : 2,0 KW
Bobina del estator : 100% Cobre
Voltaje : 110V - 60Hz
Motor : 212cc - 7HP / OHV, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 16 Horas
Capacidad tanque combustible : 15,0 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 600 ml"
76,GENERADOR DE GASOLINA INVERTER,BG2.2AiS2-60,12 Meses,"

Potencia máxima : 2,2 KW
Potencia nominal : 2,0 KW
Bobina del estator : 100% Cobre
Voltaje : 220V - 60Hz
Motor : 212cc - 7HP / OHV, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 16 Horas
Capacidad tanque combustible : 15,0 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 600 ml"
77,GENERADOR DE GASOLINA INVERTER,BG2.2AiS1-50,12 Meses,"

Potencia máxima : 2,2 KW
Potencia nominal : 2,0 KW
Bobina del estator : 100% Cobre
Voltaje : 110V - 60Hz
Motor : 212cc - 7HP / OHV, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 16 Horas
Capacidad tanque combustible : 15,0 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 600 ml"
78,GENERADOR DE GASOLINA INVERTER,BG2.2AiS2-50,12 Meses,"

Potencia máxima : 2,2 KW
Potencia nominal : 2,0 KW
Bobina del estator : 100% Cobre
Voltaje : 220V - 60Hz
Motor : 212cc - 7HP / OHV, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 16 Horas
Capacidad tanque combustible : 15,0 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 600 ml"
79,GENERADOR DE GASOLINA INVERTER,BG3.7AiS1-60,12 Meses,"

Potencia máxima : 3,7 KW
Potencia nominal : 3,5 KW
Bobina del estator : 100% Cobre
Voltaje : 110V - 60Hz
Motor : 223cc - 8HP / OHV, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 15 Horas
Capacidad tanque combustible : 15,0 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 600 ml"
80,GENERADOR DE GASOLINA INVERTER,BG3.7AiS2-60,12 Meses,"

Potencia máxima : 3,7 KW
Potencia nominal : 3,5 KW
Bobina del estator : 100% Cobre
Voltaje : 220V - 60Hz
Motor : 223cc - 8HP / OHV, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 15 Horas
Capacidad tanque combustible : 15,0 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 600 ml"
81,GENERADOR DE GASOLINA INVERTER,BG3.7AiS1-50,12 Meses,"

Potencia máxima : 3,7 KW
Potencia nominal : 3,5 KW
Bobina del estator : 100% Cobre
Voltaje : 110V - 50Hz
Motor : 223cc - 8HP / OHV, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 15 Horas
Capacidad tanque combustible : 15,0 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 600 ml"
82,GENERADOR DE GASOLINA INVERTER,BG3.7AiS2-50,12 Meses,"

Potencia máxima : 3,7 KW
Potencia nominal : 3,5 KW
Bobina del estator : 100% Cobre
Voltaje : 220V - 50Hz
Motor : 223cc - 8HP / OHV, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 15 Horas
Capacidad tanque combustible : 15,0 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 600 ml"
83,GENERADOR DE GASOLINA INVERTER,BG2.0AiSS1-60,12 Meses,"

Potencia máxima : 2,0 KW
Potencia nominal : 1,8 KW
Bobina del estator : 100% Cobre
Voltaje : 110V - 60Hz
Motor : 79,8cc - 3HP, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 10 Horas
Capacidad tanque combustible : 4,0 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 350 ml"
84,GENERADOR DE GASOLINA INVERTER,BG2.0AiSS2-60,12 Meses,"

Potencia máxima : 2,0 KW
Potencia nominal : 1,8 KW
Bobina del estator : 100% Cobre
Voltaje : 220V - 60Hz
Motor : 79,8cc - 3HP, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 10 Horas
Capacidad tanque combustible : 4,0 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 350 ml"
85,GENERADOR DE GASOLINA INVERTER,BG2.0AiSS1-50,12 Meses,"

Potencia máxima : 2,0 KW
Potencia nominal : 1,8 KW
Bobina del estator : 100% Cobre
Voltaje : 110V - 50Hz
Motor : 79,8cc - 3HP, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 10 Horas
Capacidad tanque combustible : 4,0 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 350 ml"
86,GENERADOR DE GASOLINA INVERTER,BG2.0AiSS2-50,12 Meses,"

Potencia máxima : 2,0 KW
Potencia nominal : 1,8 KW
Bobina del estator : 100% Cobre
Voltaje : 220V - 50Hz
Motor : 79,8cc - 3HP, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 10 Horas
Capacidad tanque combustible : 4,0 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 350 ml"
87,GENERADOR DE GASOLINA INVERTER,BG3.3AiSS1-60,12 Meses,"

Potencia máxima : 3,3 KW
Potencia nominal : 3,0 KW
Bobina del estator : 100% Cobre
Voltaje : 110V - 60Hz
Motor : 149cc - 6.5HP, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 6,5 Horas
Capacidad tanque combustible : 4,3 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 350 ml"
88,GENERADOR DE GASOLINA INVERTER,BG3.3AiSS2-60,12 Meses,"

Potencia máxima : 3,3 KW
Potencia nominal : 3,0 KW
Bobina del estator : 100% Cobre
Voltaje : 220V - 60Hz
Motor : 149cc - 6.5HP, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 6,5 Horas
Capacidad tanque combustible : 4,3 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 350 ml"
89,GENERADOR DE GASOLINA INVERTER,BG3.3AiSS1-50,12 Meses,"

Potencia máxima : 3,3 KW
Potencia nominal : 3,0 KW
Bobina del estator : 100% Cobre
Voltaje : 110V - 50Hz
Motor : 149cc - 6.5HP, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 6,5 Horas
Capacidad tanque combustible : 4,3 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 350 ml"
90,GENERADOR DE GASOLINA INVERTER,BG3.3AiSS2-50,12 Meses,"

Potencia máxima : 3,3 KW
Potencia nominal : 3,0 KW
Bobina del estator : 100% Cobre
Voltaje : 220V - 50Hz
Motor : 149cc - 6.5HP, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 6,5 Horas
Capacidad tanque combustible : 4,3 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 350 ml"
91,GENERADOR DE DIESEL,BDG2.0ASD-60,12 Meses,"

Potencia máxima : 2,0 KW
Potencia nominal : 1,8 KW
Bobina del estator : 100% Al
Voltaje : 110V/220V Doble voltaje - 60Hz
Motor : 211cc, 5HP, Diesel, 4 Tiempos
Autonomia al 50% de carga : 10 Hora
Capacidad tanque combustible : 11,0 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 750 ml"
92,GENERADOR DE DIESEL,BDG1.7ASD-50,12 Meses,"

Potencia máxima : 1,7 KW
Potencia nominal : 1,5 KW
Bobina del estator : 100% Al
Voltaje : 110V/220V Doble voltaje - 50Hz
Motor : 211cc, 5HP, Diesel, 4 Tiempos
Autonomia al 50% de carga : 10 Hora
Capacidad tanque combustible : 11,0 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 750 ml"
93,GENERADOR DE DIESEL,BDG4.2ASD-60,12 Meses,"

Potencia máxima : 4,2 KW
Potencia nominal : 4,0 KW
Bobina del estator : 100% Al
Voltaje : 110V/220V Doble voltaje - 60Hz
Motor : 406cc, 10HP, Diesel, 4 Tiempos
Autonomia al 50% de carga : 8,0 Hora
Capacidad tanque combustible : 11,0 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 1,65 litros"
94,GENERADOR DE DIESEL,BDG3.6ASD-50,12 Meses,"

Potencia máxima : 3,6 KW
Potencia nominal : 3,4 KW
Bobina del estator : 100% Al
Voltaje : 110V/220V Doble voltaje - 50Hz
Motor : 406cc, 10HP, Diesel, 4 Tiempos
Autonomia al 50% de carga : 8,0 Hora
Capacidad tanque combustible : 11,0 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 1,65 litros"
95,GENERADOR DE DIESEL,BDG6.0CAD-60,12 Meses,"

Potencia máxima : 6,0 KW
Potencia nominal : 5,5 KW
Bobina del estator : 100% Al
Voltaje : 110V/220V Doble voltaje - 60Hz
Motor : 456cc, 13HP, Diesel, 4 Tiempos
Autonomia al 50% de carga : 6,0 Hora
Capacidad tanque combustible : 11,0 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 1,65 litros"
96,GENERADOR DE DIESEL,BDG5.5ASD-50,12 Meses,"

Potencia máxima : 5,5 KW
Potencia nominal : 5,0 KW
Bobina del estator : 100% Al
Voltaje : 110V/220V Doble voltaje - 50Hz
Motor : 456cc, 13HP, Diesel, 4 Tiempos
Autonomia al 50% de carga : 6,0 Hora
Capacidad tanque combustible : 11,0 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 1,65 litros"
97,AHOYADORA DE SOLO,BEA43A-200,12 Meses,"
Motor: 2 tiempos, gasolina, 43cc, 1,7HP
Uno operador
Com taladro simples de 200mm de diametro"
98,AHOYADORA DE SOLO,BEA52A-200,12 Meses,"
Motor: 2 tiempos, gasolina, 52cc, 2,0HP
Uno operador
Com taladro simples de 200mm de diametro"
99,MOTOCULTOR DE GASOLINA,BT900GA-208cc,12 Meses,"
MOTOR: 212cc, 4 tiempos, gasolina
motocultor de arado
manillar adjustable em altura y giro
ancho de corte hasta 900mm
profundidad de arado de hasta 100mm
con velocidad hacia adelante y hacia atrás
Capacidad tanque combustible: 3,6 l
transmission por caja de transmission, com PTO
Arranque manual retractil"